text,aspect,sentiment
老师讲课很清楚,教学质量,好评
这门课里老师讲课很好懂,教学质量,好评
整体来看授课思路非常清晰,教学质量,好评
从学习体验来说课堂讲解特别细致,教学质量,好评
就个人感受而言老师上课重点很明确,教学质量,好评
这学期上下来老师表达很流畅,教学质量,好评
按我的体验课堂内容讲得很扎实,教学质量,好评
结合平时上课情况老师讲课很有条理,教学质量,好评
从课程安排看讲课方式容易理解,教学质量,好评
从学生角度看课堂节奏把握得很好,教学质量,好评
老师讲课很清楚让我印象不错,教学质量,好评
这门课里老师讲课很好懂让我印象不错,教学质量,好评
整体来看授课思路非常清晰让我印象不错,教学质量,好评
从学习体验来说课堂讲解特别细致让我印象不错,教学质量,好评
就个人感受而言老师上课重点很明确让我印象不错,教学质量,好评
这学期上下来老师表达很流畅让我印象不错,教学质量,好评
按我的体验课堂内容讲得很扎实让我印象不错,教学质量,好评
结合平时上课情况老师讲课很有条理让我印象不错,教学质量,好评
从课程安排看讲课方式容易理解让我印象不错,教学质量,好评
从学生角度看课堂节奏把握得很好让我印象不错,教学质量,好评
老师讲课很清楚总体能接受,教学质量,好评
这门课里老师讲课很好懂总体能接受,教学质量,好评
整体来看授课思路非常清晰总体能接受,教学质量,好评
从学习体验来说课堂讲解特别细致总体能接受,教学质量,好评
就个人感受而言老师上课重点很明确总体能接受,教学质量,好评
这学期上下来老师表达很流畅总体能接受,教学质量,好评
按我的体验课堂内容讲得很扎实总体能接受,教学质量,好评
结合平时上课情况老师讲课很有条理总体能接受,教学质量,好评
从课程安排看讲课方式容易理解总体能接受,教学质量,好评
从学生角度看课堂节奏把握得很好总体能接受,教学质量,好评
老师讲课很清楚需要继续改进,教学质量,好评
这门课里老师讲课很好懂需要继续改进,教学质量,好评
整体来看授课思路非常清晰需要继续改进,教学质量,好评
从学习体验来说课堂讲解特别细致需要继续改进,教学质量,好评
就个人感受而言老师上课重点很明确需要继续改进,教学质量,好评
这学期上下来老师表达很流畅需要继续改进,教学质量,好评
按我的体验课堂内容讲得很扎实需要继续改进,教学质量,好评
结合平时上课情况老师讲课很有条理需要继续改进,教学质量,好评
从课程安排看讲课方式容易理解需要继续改进,教学质量,好评
从学生角度看课堂节奏把握得很好需要继续改进,教学质量,好评
老师讲课很清楚比我预想更明显,教学质量,好评
这门课里老师讲课很好懂比我预想更明显,教学质量,好评
整体来看授课思路非常清晰比我预想更明显,教学质量,好评
从学习体验来说课堂讲解特别细致比我预想更明显,教学质量,好评
就个人感受而言老师上课重点很明确比我预想更明显,教学质量,好评
这学期上下来老师表达很流畅比我预想更明显,教学质量,好评
按我的体验课堂内容讲得很扎实比我预想更明显,教学质量,好评
结合平时上课情况老师讲课很有条理比我预想更明显,教学质量,好评
从课程安排看讲课方式容易理解比我预想更明显,教学质量,好评
从学生角度看课堂节奏把握得很好比我预想更明显,教学质量,好评
老师讲课很清楚这一点感受很直接,教学质量,好评
这门课里老师讲课很好懂这一点感受很直接,教学质量,好评
整体来看授课思路非常清晰这一点感受很直接,教学质量,好评
从学习体验来说课堂讲解特别细致这一点感受很直接,教学质量,好评
就个人感受而言老师上课重点很明确这一点感受很直接,教学质量,好评
这学期上下来老师表达很流畅这一点感受很直接,教学质量,好评
按我的体验课堂内容讲得很扎实这一点感受很直接,教学质量,好评
结合平时上课情况老师讲课很有条理这一点感受很直接,教学质量,好评
从课程安排看讲课方式容易理解这一点感受很直接,教学质量,好评
从学生角度看课堂节奏把握得很好这一点感受很直接,教学质量,好评
老师讲课很清楚我能明显感觉到,教学质量,好评
这门课里老师讲课很好懂我能明显感觉到,教学质量,好评
整体来看授课思路非常清晰我能明显感觉到,教学质量,好评
从学习体验来说课堂讲解特别细致我能明显感觉到,教学质量,好评
就个人感受而言老师上课重点很明确我能明显感觉到,教学质量,好评
这学期上下来老师表达很流畅我能明显感觉到,教学质量,好评
按我的体验课堂内容讲得很扎实我能明显感觉到,教学质量,好评
结合平时上课情况老师讲课很有条理我能明显感觉到,教学质量,好评
从课程安排看讲课方式容易理解我能明显感觉到,教学质量,好评
从学生角度看课堂节奏把握得很好我能明显感觉到,教学质量,好评
老师讲课很清楚这一点比较突出,教学质量,好评
这门课里老师讲课很好懂这一点比较突出,教学质量,好评
整体来看授课思路非常清晰这一点比较突出,教学质量,好评
从学习体验来说课堂讲解特别细致这一点比较突出,教学质量,好评
就个人感受而言老师上课重点很明确这一点比较突出,教学质量,好评
这学期上下来老师表达很流畅这一点比较突出,教学质量,好评
按我的体验课堂内容讲得很扎实这一点比较突出,教学质量,好评
结合平时上课情况老师讲课很有条理这一点比较突出,教学质量,好评
从课程安排看讲课方式容易理解这一点比较突出,教学质量,好评
从学生角度看课堂节奏把握得很好这一点比较突出,教学质量,好评
老师讲课比较一般,教学质量,中评
这门课里授课效果中规中矩,教学质量,中评
整体来看课堂讲解没有太大亮点,教学质量,中评
从学习体验来说老师表达算是正常,教学质量,中评
就个人感受而言上课听下来感觉一般,教学质量,中评
这学期上下来老师讲课水平比较平稳,教学质量,中评
按我的体验课堂内容讲得还可以,教学质量,中评
结合平时上课情况老师讲课不算差也不算好,教学质量,中评
从课程安排看授课方式比较普通,教学质量,中评
从学生角度看课堂效果总体一般,教学质量,中评
老师讲课比较一般让我印象不错,教学质量,中评
